Year,Make,Model,Car Name,Wheel Drive,Colour,Odometer,Inv,VIN,Retail,Price
2016,Jeep,Compass Sport FWD,Jeep Compass,FWD,Silver,69815,I,1C4NJCAB7GD703702,AUTO,15600
2016,Jeep,Grand Cherokee Laredo 4WD,Jeep Grand,4WD,Black,46979,I,1C4RJFAG2GC429846,AUTO,25995
2016,Jeep,Grand Cherokee Limited 4WD,Jeep Grand,4WD,Grey,75138,I,1C4RJFBG4GC403845,AUTO,27900
2016,Jeep,Patriot Sport Altitude II 4WD,Jeep Patriot,4WD,GREY,50971,I,1C4NJRAB3GD813505,AUTO,16600
2016,Kia,Rio SX FWD,Kia Rio,FWD,Yellow,43138,I,KNADN5A37G6557629,AUTO,13995
2016,Kia,Rondo LX FWD,Kia Rondo,FWD,Blue,48750,I,KNAHT8A30G7131350,AUTO,15995
2016,Kia,Sorento 2.4L LX AWD,Kia Sorento,AWD,BLACK,75107,I,5XYPGDA37GG106038,AUTO,18200
2016,Kia,Soul EX+ FWD,Kia Soul,FWD,GREY,39453,I,KNDJP3A59G7359568,AUTO,14995
2016,Lincoln,MKC Select AWD,Lincoln MKC,AWD,White,69336,I,5LMCJ2D92GUJ26533,AUTO,23900
2016,Lincoln,MKC Reserve AWD,Lincoln MKC,AWD,Black,76723,I,5LMCJ3D90GUJ07954,AUTO,23900
2016,Lincoln,MKC Select AWD,Lincoln MKC,AWD,White,43320,I,5LMCJ2D94GUJ20426,AUTO,24700
2016,Lincoln,MKC Select AWD,Lincoln MKC,AWD,Black,73158,I,5LMCJ2D9XGUJ06269,AUTO,23700
2016,Lincoln,MKZ  FWD,Lincoln MKZ,FWD,White,63092,I,3LN6L2G94GR620826,AUTO,20700
2016,Mazda,CX-3 GS AWD,Mazda CX-3,AWD,Silver,62403,I,JM1DKBC78G0113236,AUTO,18900
2016,Mercedes-Benz,C-Class C 300 AWD,Mercedes-Benz C-Class,AWD,Silver,20267,I,55SWF4KBXGU153185,AUTO,30900
2016,MINI,clubman cooper FWD,MINI clubman,FWD,Cream,55350,I,WMWXP5C58G2D15111,AUTO,16800
2016,MINI,Cooper Clubman  FWD,MINI Cooper,FWD,BLACK,64631,I,WMWLN5C51G2B34758,MAN,16995
2016,Nissan,Altima 2.5 S Rental FWD,Nissan Altima,FWD,Grey,68561,I,1N4AL3AP5GN326615,AUTO,13600
2016,Nissan,Maxima SR FWD,Nissan Maxima,FWD,BLACK,81141,I,1N4AA6AP6GC441405,AUTO,21700
2016,Nissan,Murano SV AWD,Nissan Murano,AWD,Grey,83933,I,5N1AZ2MH6GN124529,AUTO,19900
2016,Nissan,Pathfinder Platinum 4WD,Nissan Pathfinder,4WD,Black,58621,I,5N1AR2MM0GC656030,AUTO,25900
2016,Nissan,Rogue SV AWD,Nissan Rogue,AWD,White,39992,I,5N1AT2MM1GC736129,AUTO,19700
2016,Nissan,Rogue SV FWD,Nissan Rogue,FWD,Red,68807,I,5N1AT2MT5GC833051,AUTO,16900
2016,Nissan,Rogue S FWD,Nissan Rogue,FWD,GREY,68990,I,5N1AT2MT3GC782701,AUTO,15500
2016,Nissan,Rogue SV FWD,Nissan Rogue,FWD,Red,46077,I,5N1AT2MT7GC883031,AUTO,19995
2016,Nissan,Sentra SL FWD,Nissan Sentra,FWD,GREY,69203,I,3N1AB7AP7GL660572,AUTO,15700
2017,Cadillac,ATS Sedan RWD RWD,Cadillac ATS,RWD,Red,46311,I,1G6AA5RX5H0215242,AUTO,20900
2017,Chevrolet,Malibu LT RENTAL FWD,Chevrolet Malibu,FWD,Silver,86008,I,1G1ZE5ST0HF214629,AUTO,16300
2017,Chevrolet,Sonic LT - RENTAL FWD,Chevrolet Sonic,FWD,GREY,48635,I,1G1JD6SB4H4135909,AUTO,15300
2017,Chrysler,Pacifica LX FWD,Chrysler Pacifica,FWD,Silver,55512,I,2C4RC1CG8HR759817,AUTO,23400
2017,Dodge,Charger SXT RWD,Dodge Charger,RWD,BLUE,40450,I,2C3CDXHG7HH654131,AUTO,21700
2017,Dodge,Journey Canada Value Pkg FWD,Dodge Journey,FWD,RED,38908,I,3C4PDCAB6HT528564,AUTO,16300
2017,Ford,Escape SE 4WD,Ford Escape,4WD,Grey,40154,I,1FMCU9G98HUD97306,AUTO,23700
2017,Ford,Fusion SE FWD,Ford Fusion,FWD,Gold,42032,I,3FA6P0HD6HR127902,AUTO,16995
2017,Ford,Fusion Energi SE Luxury FWD,Ford Fusion,FWD,Grey,50491,I,3FA6P0PU2HR361973,AUTO,18995
2017,Ford,Mustang V6 RWD,Ford Mustang,RWD,Black,26354,I,1FA6P8AM7H5308163,AUTO,19995
2017,Ford,Mustang V6 RWD,Ford Mustang,RWD,Black,14122,I,1FA6P8AM5H5318626,AUTO,20900
2017,GMC,Savana Cargo Van Rental RWD,GMC Savana,RWD,White,26354,I,1GTW7AFF4H1343956,AUTO,23300
2017,GMC,Terrain SLE FWD,GMC Terrain,FWD,WHITE,73798,I,2GKALNEK1H6124689,AUTO,19900
2017,GMC,Terrain SLE AWD,GMC Terrain,AWD,BLACK,53084,I,2GKFLTEK5H6330804,AUTO,21600
2017,Hyundai,Accent SE FWD,Hyundai Accent,FWD,Red,22513,I,KMHCT5AE4HU350873,AUTO,15600
2017,Hyundai,Elantra LE FWD,Hyundai Elantra,FWD,BLACK,57413,I,5NPD74LF4HH094712,AUTO,14300
2017,Hyundai,Santa Fe Sport SE AWD,Hyundai Santa,AWD,Grey,65697,I,5XYZUDLB7HG462917,AUTO,21700
2017,Jeep,Renegade Sport FWD,Jeep Renegade,FWD,BLACK,61355,I,ZACCJAAB7HPG30281,AUTO,16600
2017,Kia,Sportage LX AWD,Kia Sportage,AWD,White,30347,I,KNDPMCAC0H7135527,AUTO,22700
2017,Kia,Sportage LX FWD,Kia Sportage,FWD,Black Cherry,60018,I,KNDPM3AC0H7150819,AUTO,18900
2017,Kia,Sportage LX AWD,Kia Sportage,AWD,SILVER,69560,I,KNDPMCAC5H7110848,AUTO,19700
2017,Kia,Sportage LX FWD,Kia Sportage,FWD,BLUE,100481,I,KNDPM3AC5H7173996,AUTO,15500
2017,Nissan,370Z Touring Sport RWD,Nissan 370Z,RWD,Black,30789,I,JN1AZ4EH6HM950676,AUTO,28900
2017,Nissan,Altima 2.5 - RENTAL FWD,Nissan Altima,FWD,WHITE,53600,I,1N4AL3AP3HN343639,AUTO,14300
2017,Nissan,Micra SV FWD,Nissan Micra,FWD,Black,40934,I,3N1CK3CP9HL250307,AUTO,13300
2017,Nissan,Rogue S Rental FWD,Nissan Rogue,FWD,Grey,55158,I,5N1AT2MT9HC879077,AUTO,17300
2017,Nissan,Sentra SV FWD,Nissan Sentra,FWD,Black,30814,I,3N1AB7AP8HL654569,AUTO,15995
2017,Nissan,Sentra SV FWD,Nissan Sentra,FWD,BLUE,38555,I,3N1AB7AP8HL635682,AUTO,15900
2017,Ram,1500 ST RWD,Ram 1500,RWD,Black,42546,I,1C6RR6FT3HS804608,AUTO,23300
2017,Ram,1500 ST 4WD,Ram 1500,4WD,Black,35496,I,1C6RR7FT2HS749123,AUTO,26500
2017,Toyota,Corolla SE FWD,Toyota Corolla,FWD,Blue,31430,I,2T1BURHE5HC935811,AUTO,18995
2017,Toyota,Corolla iM  FWD,Toyota Corolla,FWD,Black,23073,I,JTNKARJE6HJ531497,AUTO,18700
2018,Cadillac,XTS Rental FWD,Cadillac XTS,FWD,Silver,60132,I,2G61L5S34J9124881,AUTO,25700
2018,Chevrolet,Cruze LT Rental FWD,Chevrolet Cruze,FWD,Blue,50151,I,1G1BE5SMXJ7175431,AUTO,17300
2018,Chevrolet,Cruze prem FWD,Chevrolet Cruze,FWD,Grey,51632,I,1G1BE5SM1J7195728,AUTO,16995
2018,Chevrolet,Equinox LS FWD,Chevrolet Equinox,FWD,Silver,57296,I,2GNAXHEV6J6322984,AUTO,21600
2018,Chevrolet,Malibu LT FWD,Chevrolet Malibu,FWD,Black,35827,I,1G1ZD5ST1JF202059,AUTO,19800
2018,Chevrolet,Malibu LT Rental FWD,Chevrolet Malibu,FWD,Black,64147,I,1G1ZD5ST5JF100697,AUTO,17700
2018,Chevrolet,Spark LT Rental FWD,Chevrolet Spark,FWD,Silver,49340,I,KL8CD6SA7JC477723,AUTO,13900
2018,Chevrolet,Spark LT Rental FWD,Chevrolet Spark,FWD,Red,48307,I,KL8CD6SA1JC473716,AUTO,13900
2018,Chevrolet,Spark LT Rental FWD,Chevrolet Spark,FWD,Red,48890,I,KL8CD6SA2JC465866,AUTO,13300
2018,Chrysler,300 300S RWD,Chrysler 300,RWD,White,45225,I,2C3CCABG0JH299687,AUTO,23800
2018,Chrysler,300 300S Rental RWD,Chrysler 300,RWD,Grey,54863,I,2C3CCABG2JH301939,AUTO,23800
2018,Ford,Focus Titanium FWD,Ford Focus,FWD,Silver,65486,I,1FADP3N20JL290125,AUTO,15995
2018,Kia,Forte LX - RENTAL FWD,Kia Forte,FWD,BLUE,25269,I,3KPFL4A79JE208181,AUTO,15995
2018,Kia,Forte LX FWD,Kia Forte,FWD,WHITE,10101,I,3KPFL4A72JE188582,AUTO,15995
2018,Kia,Optima LX+ Rental FWD,Kia Optima,FWD,Grey,67570,I,5XXGT4L31JG221447,AUTO,16300
2018,Mazda,CX-3 GX AWD,Mazda CX-3,AWD,White,20836,I,JM1DKFB71J0318655,AUTO,21700
2018,Mazda,CX-3 GX FWD,Mazda CX-3,FWD,Blue,19285,I,JM1DKDB77J0312086,AUTO,19300
2018,Nissan,Versa Note SR FWD,Nissan Versa,FWD,RED,33395,I,3N1CE2CP3JL367775,AUTO,15700
2018,Nissan,Versa Note SV - RENTAL FWD,Nissan Versa,FWD,WHITE,49707,I,3N1CE2CP5JL368362,AUTO,13995
2018,Volkswagen,Golf Trendline - Rental FWD,Volkswagen Golf,FWD,Red,40348,I,3VWG17AUXJM282035,AUTO,16600
2018,Volkswagen,Passat Trendline+ Rental FWD,Volkswagen Passat,FWD,Blue,74224,I,1VWAA7A39JC031926,AUTO,16995
2019,Chevrolet,Impala LT - Rental FWD,Chevrolet Impala,FWD,Blue,18039,I,2G11Z5S32K9151860,AUTO,23995
2019,Chevrolet,Impala LT - Rental FWD,Chevrolet Impala,FWD,SILVER,25867,I,2G11Z5S38K9146405,AUTO,23995
2019,Chevrolet,Impala LT - Rental FWD,Chevrolet Impala,FWD,WHITE,13489,I,2G11Z5S31K9145791,AUTO,24995
2019,Chevrolet,Spark LT FWD,Chevrolet Spark,FWD,Blue,32700,I,KL8CD6SA1KC776013,AUTO,14300
2019,Hyundai,Veloster 2.0 GL - RENTAL FWD,Hyundai Veloster,FWD,WHITE,47314,I,KMHTG6AF8KU008174,AUTO,16995
2019,Kia,Soul EX - RENTAL FWD,Kia Soul,FWD,WHITE,38790,I,KNDJP3A50K7909751,AUTO,17900
